DATA;PROVINCIA;LOCALITA;TIPO;TRAVOLTI;ILLESI;FERITI;MORTI
08/10/2000;SO;Statale dello Stelvio -P. Stelvio - Bormio;6;2;2;;
01/11/2000;BL;M. Marmolada -P. Rocca;1;2;;2;
01/11/2000;SO;Monte Scorluzzo -P. Stelvio - Bormio;4;3;3;;
02/11/2000;TN;Latemar -Pampeago;3;1;;1;
05/11/2000;SO;M. Corno - Passo Foscagno - Livigno;2;4;2;2;
19/11/2000;BZ;Val Senales;3;1;1;;
26/11/2000;SO;Primolo -Valmalenco;8;2;1;1;
26/11/2000;VB;Cima Bianca -Domodossola;3;1;;1;
02/12/2000;BL;Ra Vales -Cortina;8;1;1;;
30/12/2000;TN;Serodoli -Madonna di Campiglio;2;1;;;1
30/12/2000;TN;Malga Spora -Andalo;8;2;;1;1
30/12/2000;BG;Monte Arera -Val Seriana;2;1;;1;
31/12/2000;AO;Ecures -La Salle;2;1;;1;
31/12/2000;TN;Monte Bondone;3;1;;1;
31/12/2000;UD;M. Cimacuta -Forni di Sopra Prealpi Carniche;1;3;2;1;
02/01/2001;TN;Col Capel -Pampeago;3;2;1;;1
06/01/2001;TN;Val di Rabbi;5;3;1;2;
06/01/2001;AO;Les Souches -La Thuile;3;1;;;1
06/01/2001;TN;Val Daone;5;2;;;2
08/01/2001;BZ;Maso Corto -Val Senales;3;2;;1;1
09/01/2001;SO;Plaghera -S. Caterina;4;5;3;2;
09/01/2001;AO;Pavillon -Courmayeur;3;3;2;1;
10/01/2001;BZ;Passo Giovo;8;2;2;;
14/01/2001;AO;Punta Chaligne;1;4;;2;2
23/01/2001;AO;Alpe Zindean -Lago Gabiet;3;1;1;;
26/01/2001;SO;Cima di Lemma -Val Tartano;1;1;1;;
27/01/2001;SO;Pizzo Meriggio -Albosaggia;2;1;1;;
28/01/2001;BZ;Racines;3;3;3;;
28/01/2001;CN;Colle di Sampeyre -Val Varaita;8;1;;;1
28/01/2001;TN;Val Bona -Tione;2;1;;1;
28/01/2001;TN;Dosso dei Morti;2;2;2;;
29/01/2001;MC;Val di Bove -Ussita;5;2;1;1;
30/01/2001;VB;Piani della Rossa -Baceno;2;1;;;1
30/01/2001;BZ;Monte Lucco;8;2;1;;1
04/02/2001;VB;Val Formazza -Passo S. Giacomo;1;3;3;;
04/02/2001;BL;Monte Alto di Pelsa -Taibon;1;4;;4;
04/02/2001;AO;Dondena -Champorcher;3;1;1;;
04/02/2001;UD;Monte Crostis -Forni Avoltri Alpi carniche;2;1;;;1
04/02/2001;CN;Cima delle Lose -Valle Stura;1;1;;;1
09/02/2001;SO;Val Cantone -Livigno;3;1;;;1
09/02/2001;TN;Panciana -Folgarida;3;2;1;1;
10/02/2001;BZ;Val d'Ultimo;3;1;;1;
11/02/2001;LC;Grignone Settentrionale - Pasturo;5;2;2;;
11/02/2001;AO;Rocce Nere -Monte Rosa;3;3;2;1;
11/02/2001;TN;Busa de Carl -Valle dei Mocheni;1;1;;;1
11/02/2001;SO;Pizzo Tambï -Madesimo;1;1;;;1
27/02/2001;TO;Cima del Rospo -Valprato Soana;2;1;;;1
01/03/2001;TO;Val Troncea -Pragelato;3;1;;;1
03/03/2001;UD;Sella Bila Pec -Chiusaforte;8;5;5;;
04/03/2001;UD;Sella Bila Pec -Chiusaforte Alpi Giulie;8;2;1;1;
06/03/2001;TO;Grangesises -Sestriere;3;5;1;1;3
06/03/2001;AO;Couisse -Pila;3;1;1;;
13/03/2001;BL;Faloria -Cortina;3;3;3;;
14/03/2001;AO;Gressoney;2;1;;;1
19/03/2001;AO;Couisse -Pila;3;1;;;1
23/03/2001;AO;Rif. Lambronecca -Ayas;3;1;;1;
23/03/2001;AO;Plampiceaux -Courmayeur;8;1;1;;
24/03/2001;BZ;Valle Aurina;8;1;;;1
24/03/2001;AO;Rif. Bezzi -Val Grisenche;2;1;;;1
24/03/2001;BZ;Pista Contrabbandieri -Val Senales;4;1;1;;
24/03/2001;AO;Valnontey -Cogne;5;1;;;1
31/03/2001;BZ;Val Senales;1;1;1;;
05/04/2001;VB;Morasco -Val Formazza;2;7;4;1;2
08/04/2001;TO;Pian della Mussa;1;1;1;;
08/04/2001;SO;Pizzo Scalino -Valmalenco;2;3;3;;
09/04/2001;SO;Cima Manzina -Valfurva;2;1;1;;
22/04/2001;SO;Monte Rotondo -Val Gerola;1;2;1;1;
22/04/2001;AO;Cime Bianche -Valtournanche;3;1;1;;
23/04/2001;BL;Monte Cristallo -Cortina d' Ampezzo;8;2;2;;
28/04/2001;BZ;Tubre;2;1;1;;
23/05/2001;SO;Cima Piazzi -Valdidentro;1;2;2;;
02/06/2001;SO;Strada Passo Forcola -Livigno;6;1;;1;
13/10/2001;BZ;OrtlesParete Nord Ovest;5;1;;1;
15/12/2001;BZ;Predoi Passo Merbe;1;2;;;2
11/02/2002;SO;Bormio Valle Cetta;3;2;2;;
11/02/2002;AO;Valsavaranche Gran Paradiso;5;2;;1;1
12/02/2002;BZ;Curon Dosso di Dentro;2;1;;1;
